SKU,Name,DisplayName,Description,Type,Thickness,ProductType,FranchisePrice,RetailPrice,UOM,TypeCode,ColorCode,ProfileCode,VendorName
EB-0014-0000053,Candlelight,Candlelight,Candlelight 1mm,2,0.039,EB,0.38,0.38,LF,1037,880084,120,Tafisa
PM-0014-0000831,Cherry Blossom,Cherry Blossom,Cherry Blossom 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880085,120,Tafisa
PM-0014-0000830,Cherry Blossom,Cherry Blossom,Cherry Blossom 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880085,120,Tafisa
EB-0014-0000054,Cherry Blossom,Cherry Blossom,Cherry Blossom 1mm,2,0.039,EB,0.38,0.38,LF,1037,880085,120,Tafisa
PM-0014-0000833,Chocolate Peartree,Chocolate Peartree,Chocolate Peartree 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880086,120,Tafisa
PM-0014-0000832,Chocolate Peartree,Chocolate Peartree,Chocolate Peartree 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880086,120,Tafisa
EB-0014-0000055,Chocolate Peartree,Chocolate Peartree,Chocolate Peartree 1mm,2,0.039,EB,0.38,0.38,LF,1037,880086,120,Tafisa
PM-0014-0000835,Hardrock Maple,Hardrock Maple,Hardrock Maple 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880087,120,Tafisa
PM-0014-0000834,Hardrock Maple,Hardrock Maple,Hardrock Maple 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880087,120,Tafisa
EB-0014-0000056,Hardrock Maple,Hardrock Maple,Hardrock Maple 1mm,2,0.039,EB,0.38,0.38,LF,1037,880087,120,Tafisa
PM-0014-0000837,Rustic Cherry,Rustic Cherry,Rustic Cherry 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880088,120,Tafisa
PM-0014-0000836,Rustic Cherry,Rustic Cherry,Rustic Cherry 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880088,120,Tafisa
EB-0014-0000057,Rustic Cherry,Rustic Cherry,Rustic Cherry 1mm,2,0.039,EB,0.38,0.38,LF,1037,880088,120,Tafisa
PM-0014-0000839,Secret,Secret,Secret 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880089,120,Tafisa
PM-0014-0000838,Secret,Secret,Secret 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880089,120,Tafisa
EB-0014-0000058,Secret,Secret,Secret 1mm,2,0.039,EB,0.38,0.38,LF,1037,880089,120,Tafisa
PM-0014-0000843,Windsor Mahogany,Windsor Mahogany,Windsor Mahogany 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880091,120,Tafisa
PM-0014-0000842,Windsor Mahogany,Windsor Mahogany,Windsor Mahogany 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880091,120,Tafisa
EB-0014-0000061,Windsor Mahogany,Windsor Mahogany,Windsor Mahogany 1mm,2,0.039,EB,0.38,0.38,LF,1037,880091,120,Tafisa
