Description,SKU,Name,DisplayName,FranchisePrice,RetailPrice,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
Synergy Rnd Pole Cup Pol Chrome,AC-0000171,Synergy Rnd Pole Cup Pol Chrome,Synergy Rnd Pole Cup Pol Chrome,3.278,11.309,PR,AC,HAFELE,803.56.200,4,1,0,0,0
"Synergy Scarf Rack ORB 14""",AC-0000172,"Synergy Scarf Rack ORB 14""",Synergy Scarf Rack ORB 14in,23.298,80.378,EA,AC,HAFELE,807.54.134,4,1,0,0,0
"Synergy Scarf Rack WHT 14""",AC-0000173,"Synergy Scarf Rack ORB 14""",Synergy Scarf Rack ORB 14in,17.446,60.189,EA,AC,HAFELE,807.54.774,4,1,0,0,0
"Synergy Scarf Rack Matt Alum 14""",AC-0000174,"Synergy Scarf Rack Matt Alum 14""",Synergy Scarf Rack Matt Alum 14in,21.615,74.572,EA,AC,HAFELE,807.54.934,4,1,0,0,0
"Synergy Scarf Rack CHR-PL POL 14""",AC-0000175,"Synergy Scarf Rack Matt Alum 14""",Synergy Scarf Rack Matt Alum 14in,21.615,74.572,EA,AC,HAFELE,807.54.234,4,1,0,0,0
"Synergy Scarf Rack Matt Alum 14""",AC-0000176,"Synergy Scarf Rack Matt Alum 14""",Synergy Scarf Rack Matt Alum 14in,21.615,74.572,EA,AC,HAFELE,807.54.634,4,1,0,0,0
"Synergy Valet Rail ORB 12""",AC-0000177,"Synergy Valet Rail ORB 12""",Synergy Valet Rail ORB 12in,20.724,71.498,EA,AC,HAFELE,808.70.130,4,1,0,0,0
"SYNERGY TIE RACK CHR-PL POL 14""",AC-0000178,"SYNERGY TIE RACK CHR-PL POL 14""","SYNERGY TIE RACK CHR-PL POL 14""",22.11,76.28,EA,AC,HAFELE,807.54.233,4,1,0,0,0
"Synergy Valet Rail Matt Ni 12""",AC-0000179,"Synergy Valet Rail Matt Ni 12""",Synergy Valet Rail Matt Ni 12in,19.624,67.703,EA,AC,HAFELE,808.70.630,4,1,0,0,0
"SYNERGY TIE RACK DORB 14""",AC-0000180,"SYNERGY TIE RACK DORB 14""","SYNERGY TIE RACK DORB 14""",23.386,80.682,EA,AC,HAFELE,807.54.133,4,1,0,0,0
"Synergy Valet Rail Chrome 12""",AC-0000181,"Synergy Valet Rail Chrome 12""",Synergy Valet Rail Chrome 12in,19.602,67.627,EA,AC,HAFELE,808.70.230,4,1,0,0,0
"SYNERGY TIE RACK NICK-PL MATT 14""",AC-0000182,"SYNERGY TIE RACK NICK-PL MATT 14""","SYNERGY TIE RACK NICK-PL MATT 14""",22.132,76.355,EA,AC,HAFELE,807.54.633,4,1,0,0,0
"Synergy Valet Rail White 12""",AC-0000183,"Synergy Valet Rail White 12""",Synergy Valet Rail White 12in,17.809,61.441,EA,AC,HAFELE,808.70.770,4,1,0,0,0
Synergy Rnd Rod WHT 8ft,AC-0000184,Synergy Rnd Rod WHT 8ft,Synergy Rnd Rod WHT 8ft,20.999,72.447,EA,AC,HAFELE,801.42.710,4,1,0,0,0
